case_id,case_name,case_alias,tech_id,tech_name,case_description,obs_terminal
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station: Vehicle Owned by Former Employee,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station: Vehicle Owned by Former Employee: Containing Transient Cyber Assets,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,"Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station: Vehicle Owned by Former Employee: Containing Transient Cyber Assets: Protective Distribution System (PDS) Compact 500, Motorola M120 Two-Way Radio, Laptop, Cable Media, and Transformer",TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Anomalous System Behavior on Local Host,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Anomalous System Behavior on Local Host: Anomalous Configuration Changes to Industrial Control System (ICS) Device,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Anomalous System Behavior on Local Host: Anomalous Configuration Changes to Industrial Control System (ICS) Device: Remote Terminal Unit (RTU),FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Anomalous System Behavior on Local Host: Anomalous Configuration Changes to Industrial Control System (ICS) Device: Remote Terminal Unit (RTU): Protective Distribution System (PDS) Compact 500,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Anomalous System Behavior on Local Host: Anomalous Configuration Changes to Industrial Control System (ICS) Device: Remote Terminal Unit (RTU): Protective Distribution System (PDS) Compact 500: By Proprietary Controller Software,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Anomalous System Behavior on Local Host: Anomalous Configuration Changes to Industrial Control System (ICS) Device: Remote Terminal Unit (RTU): Protective Distribution System (PDS) Compact 500: By Proprietary Controller Software: PDSCONFIG,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio: Property of Integrator,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio: Property of Integrator: Hunter Watertech,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Presence of Proprietary Software on Transient Cyber Asset,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Presence of Proprietary Software on Transient Cyber Asset: Laptop,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0822,External Remote Services,Presence of Proprietary Software on Transient Cyber Asset: Laptop: Pdsconf.exe,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0848,Rogue Master,Presence of Anomalous Vehicle,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0848,Rogue Master,Presence of Anomalous Vehicle: Near Operational Site,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0848,Rogue Master,Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0848,Rogue Master,Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station: Vehicle Owned by Former Employee,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0848,Rogue Master,Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station: Vehicle Owned by Former Employee: Containing Transient Cyber Assets,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0848,Rogue Master,"Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station: Vehicle Owned by Former Employee: Containing Transient Cyber Assets: Protective Distribution System (PDS) Compact 500, Motorola M120 Two-Way Radio, Laptop, Cable Media, and Transformer",TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0848,Rogue Master,Anomalous System Behavior on Local Host,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0848,Rogue Master,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0848,Rogue Master,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0848,Rogue Master,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0848,Rogue Master,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio: Property of Integrator,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0848,Rogue Master,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio: Property of Integrator: Hunter Watertech,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0848,Rogue Master,Anomalous Control System Radio Traffic,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0848,Rogue Master,Anomalous Control System Radio Traffic: Over Ultra High Frequency (UHF),FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0848,Rogue Master,Anomalous Control System Radio Traffic: Over Ultra High Frequency (UHF): From Anomalous Pumping Station Network Address,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,Presence of Anomalous Vehicle,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,Presence of Anomalous Vehicle: Near Operational Site,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station: Vehicle Owned by Former Employee,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station: Vehicle Owned by Former Employee: Containing Transient Cyber Assets,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,"Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station: Vehicle Owned by Former Employee: Containing Transient Cyber Assets: Protective Distribution System (PDS) Compact 500, Motorola M120 Two-Way Radio, Laptop, Cable Media, and Transformer",TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,Anomalous Control System Radio Traffic,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,Anomalous Control System Radio Traffic: Over Ultra High Frequency (UHF),FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,Anomalous Control System Radio Traffic: Over Ultra High Frequency (UHF): To Repeater Station,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,Anomalous Control System Radio Traffic: Over Ultra High Frequency (UHF): To Repeater Station: Buderim,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,Anomalous Control System Radio Traffic: Over Ultra High Frequency (UHF): To Repeater Station: Mount Coolum,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,Anomalous System Behavior on Local Host,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio: Property of Integrator,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0860,Wireless Compromise,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio: Property of Integrator: Hunter Watertech,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous Increase in Radio Traffic,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous Increase in Radio Traffic: Over Ultra High Frequency (UHF),TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous System Behavior on Local Host,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio: Property of Integrator,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio: Property of Integrator: Hunter Watertech,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous System Behavior on Local Host: Anomalous Process Alarms,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous System Behavior on Local Host: Anomalous Process Alarms: Anomalous Pump Station Alarms,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous System Behavior on Local Host: Anomalous Interruption of Communication,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous System Behavior on Local Host: Anomalous Interruption of Communication: From Supervisory Control to Controlled Process,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous System Behavior on Local Host: Anomalous Interruption of Communication: From Supervisory Control to Controlled Process: Sewage Pumping Stations,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous System Behavior on Local Host: Anomalous Interruption of Communication: From Supervisory Control to Controlled Process: Sewage Pumping Stations: Alarm Monitoring Communication,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous System Behavior on Local Host: Anomalous Modification of Control System Software,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous System Behavior on Local Host: Anomalous Modification of Control System Software: Pumping Station Software,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous Behavior of Controlled Process,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous Behavior of Controlled Process: Anomalous Pump Behavior,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous Behavior of Controlled Process: Anomalous Pump Behavior: Pumps Running When They Were Intended to Be Stopped,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous Behavior of Controlled Process: Anomalous Pump Behavior: Pumps Stopped When They Were Intended to Be Running,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous Behavior of Controlled Process: Anomalous Pump Behavior: Pumps Shut Off Without Alarms,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous Behavior of Controlled Process: Anomalous Pump Station Behavior,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0831,Manipulation of Control,Anomalous Behavior of Controlled Process: Anomalous Pump Behavior: Pump Station Lockups,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Presence of Anomalous Vehicle,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Presence of Anomalous Vehicle: Near Operational Site,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station: Vehicle Owned by Former Employee,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station: Vehicle Owned by Former Employee: Containing Transient Cyber Assets,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,"Presence of Anomalous Vehicle: Near Operational Site: Near Radio Repeater Station: Vehicle Owned by Former Employee: Containing Transient Cyber Assets: Protective Distribution System (PDS) Compact 500, Motorola M120 Two-Way Radio, Laptop, Cable Media, and Transformer",TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Missing Operational Technology (OT) Asset,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Missing Operational Technology (OT) Asset: Motorola M120 Two-Way Radio,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Missing Operational Technology (OT) Asset: Spare Remote Terminal Unit (RTU),FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Missing Operational Technology (OT) Asset: Spare Remote Terminal Unit (RTU): Protective Distribution System (PDS) Compact 500,TRUE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Anomalous System Behavior on Local Host,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio,FALSE
1,INSIDER ATTACK ON THE MAROOCHY SHIRE SEWERAGE CONTROL SYSTEM IN 2000,maroochy,T0864,Transient Cyber Asset,Anomalous System Behavior on Local Host: Anomalous Commands Issued to Controlled Process: To Sewage Pumping Stations Over Ultra High Frequency (UHF) Radio: Motorola M120 Two-Way Radio: Property of Integrator,FALSE
